Provinsi,Kabupaten/Kota,Indeks Ketahanan Pangan (IKP),,,,Kriteria Kerentanan Pangan,,,,Produktivitas Padi (ku/ha) (Ku/ha),,,,Luas Panen Padi (ku/ha) (Ku/ha),,,,Indeks Pembangunan Manusia,,,,Rata-Rata Lama Sekolah,,,,Indeks Pembangunan Gender,,,,Angka Partisipasi Murni SD,,,,Angka Partisipasi Murni SMP,,,,Persentase Akses Sanitasi Layak,,,,Angka Harapan Hidup,,,,Indeks Kesehatan,,,,Akses ke Sarana Kesehatan,,,,Asuransi Jaminan Kesehatan BPJS,,,
,Wonogiri,88.15,87.79,88.91,76.02,6,6,5,5,56.98,56.27,60.83,58.91,67238.77,66897.03,54913.68,43965.00,71.04,71.97,72.54,73.42,7.42,7.67,7.68,7.85,91.70,92.08,92.27,92.56,99.31,98.93,99.31,96.62,87.44,80.22,79.39,79.87,94.62,96.12,96.25,98.59,76.41,76.56,76.82,77.30,0.87,0.87,0.87,0.88,,,270,273,59.90,61.59,65.74,70.74
,Karanganyar,87.39,88.48,89.67,75.45,6,6,5,5,60.68,62.18,65.56,65.80,44261.88,42874.47,42671.12,104924.00,76.58,77.31,78.11,78.67,8.79,9.02,9.26,9.27,97.04,97.29,97.13,97.15,95.69,96.18,96.32,98.92,81.89,84.52,85.56,80.69,96.32,97.03,98.54,98.66,77.64,77.72,77.91,78.21,0.89,0.89,0.89,0.90,,,229,239,65.15,67.02,69.93,76.69
,Sragen,87.53,88.17,89.37,75.36,6,6,5,5,55.36,58.86,61.75,59.37,113182.95,109077.98,111694.08,121944.00,74.65,75.10,75.53,76.38,7.79,7.87,7.88,7.89,92.25,92.48,92.57,93.14,97.91,98.37,99.32,97.75,78.18,77.50,72.66,83.18,93.08,95.30,95.71,97.33,75.87,75.97,76.18,76.48,0.86,0.86,0.86,0.87,,,246,254,56.30,56.77,59.83,64.23
,Grobogan,87.27,87.18,87.29,75.42,6,6,5,5,57.10,52.33,50.02,50.57,136397.69,129630.82,119067.6,104159.00,70.97,71.49,72.02,72.94,7.26,7.28,7.29,7.51,86.17,86.24,86.40,87.01,99.90,99.64,98.86,96.69,81.41,76.44,74.51,78.69,87.93,90.49,93.94,97.19,74.93,75.04,75.25,75.57,0.85,0.85,0.85,0.85,,,267,272,56.45,54.24,57.88,61.47
,Blora,87.03,86.94,88.53,73.79,6,6,5,5,49.72,47.87,48.98,49.92,96903.57,98784.77,84846.36,35365.00,69.95,70.63,71.42,72.35,7.01,7.08,7.26,7.45,84.92,85.68,85.85,86.48,99.90,99.75,99.43,99.47,77.49,83.74,82.06,70.90,91.52,90.72,90.81,92.46,74.60,74.71,74.92,75.23,0.84,0.84,0.84,0.85,,,164,165,55.92,56.42,62.60,67.49
,Rembang,84.73,84.45,86.85,75.47,6,6,5,5,52.30,56.35,54.63,55.07,34267.47,38263.49,28021.04,109861.00,71.00,71.89,72.53,73.40,7.41,7.72,7.73,7.89,88.01,88.11,88.45,88.76,98.04,97.84,97.76,98.60,81.61,78.20,80.64,76.45,92.92,95.44,94.89,97.02,74.68,74.77,74.98,75.29,0.84,0.84,0.85,0.85,,,154,162,80.23,78.97,80.92,81.37
,Pati,88.01,89.27,90.88,79.67,6,6,6,6,55.67,54.14,58.68,55.01,105531.13,93852.59,96537.15,31799.00,73.14,73.59,74.10,74.98,7.79,7.80,7.82,8.09,92.32,92.46,92.46,92.68,95.48,95.92,95.34,99.32,80.10,83.49,84.86,87.87,93.80,95.80,96.33,92.97,76.32,76.39,76.56,76.83,0.87,0.87,0.87,0.87,,,262,267,66.57,65.48,69.22,73.23
,Kudus,87.21,88.91,88.81,73.80,6,6,5,5,58.85,55.69,51.90,49.92,33253.32,29090.76,30196.06,42954.00,75.89,76.71,77.21,77.94,9.06,9.34,9.35,9.51,93.50,93.81,93.92,94.63,99.77,99.72,99.98,96.86,76.76,72.57,72.97,75.37,92.78,92.12,95.90,96.56,76.76,76.86,77.07,77.21,0.87,0.87,0.88,0.88,,,184,201,66.00,67.97,72.27,79.18
,Jepara,85.06,86.91,87.00,81.56,6,6,6,6,48.84,49.26,59.36,58.34,41621.92,38029.74,38973.62,108736.00,73.15,73.85,74.32,74.90,8.09,8.26,8.27,8.28,91.40,91.53,91.63,91.91,99.72,99.45,99.44,97.81,78.17,82.45,82.73,79.96,68.14,70.49,68.05,71.71,75.97,76.04,76.21,76.49,0.86,0.86,0.86,0.87,,,218,243,58.45,58.58,61.52,62.30
,Demak,87.38,89.03,90.47,76.42,6,6,5,5,59.64,56.92,59.64,55.91,103238.10,99263.51,100311.34,28539.00,73.36,74.07,74.57,75.08,8.10,8.27,8.28,8.29,91.27,91.16,91.19,91.47,94.11,94.60,95.70,97.43,80.06,82.11,79.12,74.93,91.64,93.60,95.13,94.03,75.52,75.60,75.79,76.08,0.85,0.86,0.86,0.86,,,202,225,75.84,71.13,75.54,77.61
,Semarang,86.31,85.35,85.57,74.26,6,6,5,5,50.72,53.90,64.76,58.64,27162.32,26566.2,25946.07,9388.00,74.67,75.13,75.67,76.40,8.05,8.07,8.16,8.17,96.61,96.63,96.63,96.44,99.59,99.49,99.39,96.98,77.70,78.20,79.41,79.94,85.91,85.50,86.32,87.99,75.86,75.95,76.15,76.45,0.86,0.86,0.86,0.87,,,206,213,63.22,66.12,91.55,92.85
,Temanggung,80.08,77.84,78.91,68.50,6,6,4,4,56.39,58.05,59.98,54.33,10088.95,8009.97,7846.3,31432.00,70.77,71.33,71.86,72.52,7.41,7.50,7.53,7.61,95.94,96.13,96.13,96.01,99.94,99.34,99.34,96.94,75.81,84.49,82.95,82.25,75.30,69.89,71.77,74.98,75.70,75.77,75.94,76.16,0.86,0.86,0.86,0.86,,,135,137,56.08,57.10,58.13,65.85
,Kendal,84.69,85.58,84.83,77.26,6,6,5,5,52.08,53.75,54.79,51.33,30929.75,29566.56,29188.5,23441.00,73.19,73.86,74.34,75.07,7.71,7.73,7.74,7.97,93.80,94.29,94.29,94.30,96.23,96.60,96.73,95.84,74.78,85.59,87.12,74.41,82.65,78.33,83.05,82.83,74.53,74.58,74.73,74.96,0.84,0.84,0.84,0.85,,,216,226,62.31,64.40,65.62,61.11
,Batang,83.19,83.15,84.77,83.69,6,6,6,6,50.76,54.83,55.02,49.95,25790.52,26690.07,25536.62,35481.00,69.45,70.20,70.73,71.70,6.90,7.07,7.08,7.35,91.83,92.48,92.59,93.22,96.98,97.89,99.44,96.64,79.62,81.50,80.69,76.99,67.29,61.70,65.92,68.38,74.79,74.85,75.01,75.35,0.84,0.84,0.85,0.85,,,145,146,68.51,66.50,65.80,66.61
,Pekalongan,80.39,81.81,80.65,74.99,6,6,5,5,44.45,44.48,57.07,53.05,37108.56,38115.12,37275.76,70445.00,70.81,71.45,71.95,72.71,7.46,7.47,7.48,7.50,92.69,92.84,92.87,93.21,96.19,97.73,98.14,97.64,78.93,78.22,77.96,77.39,77.80,83.47,82.61,83.76,73.81,73.99,74.25,74.59,0.83,0.83,0.83,0.84,,,173,181,68.80,69.77,71.35,72.86
,Pemalang,78.51,80.84,81.81,71.10,6,6,5,5,52.30,52.12,53.39,49.51,74711.52,73832.38,73832.13,62480.00,67.26,68.08,68.65,69.47,6.50,6.55,6.56,6.69,86.66,87.16,87.30,87.71,99.87,99.07,98.87,95.55,79.42,82.92,82.75,75.56,77.69,80.73,84.32,83.39,73.82,73.98,74.23,74.55,0.83,0.83,0.83,0.84,,,225,226,65.20,61.58,66.55,66.37
,Tegal,81.18,82.84,83.71,71.11,6,6,5,5,53.45,53.87,55.01,51.71,63814.88,59835.78,58571.44,87615.00,70.42,71.12,71.70,72.36,7.25,7.34,7.36,7.37,88.23,88.54,88.72,89.17,97.37,97.92,97.45,97.91,80.98,84.10,82.34,80.08,85.82,85.87,87.09,91.20,73.87,74.01,74.25,74.62,0.83,0.83,0.83,0.84,,,281,287,65.52,57.30,63.33,65.90
,Brebes,76.74,77.21,78.79,75.14,6,6,5,5,55.25,53.84,50.23,48.76,80034.23,78814.2,76188.6,101.00,68.81,69.71,70.18,71.18,6.35,6.40,6.41,6.61,87.20,87.09,87.54,87.97,99.99,99.41,99.34,96.75,83.89,85.17,84.60,78.32,80.72,82.80,85.85,83.87,73.80,73.95,74.18,74.40,0.83,0.83,0.83,0.84,,,285,301,74.40,70.72,73.55,71.72
,Kota Magelang,82.09,91.18,91.41,71.84,6,6,5,5,51.54,52.34,57.59,58.29,140.80,123.5,105.27,42.00,80.39,81.17,82.15,82.92,10.94,11.20,11.43,11.44,95.86,96.38,96.66,97.09,99.87,99.96,98.92,98.83,84.69,78.10,80.64,92.04,82.27,84.93,88.55,90.57,77.02,77.22,77.54,78.03,0.88,0.88,0.89,0.89,,,44,49,89.84,89.21,91.34,91.38
,Kota Surakarta,80.27,85.80,87.67,68.54,6,6,4,4,49.64,58.17,66.44,60.50,27.21,27.09,28.44,704.00,83.08,83.54,84.41,84.92,10.92,11.00,11.25,11.26,96.80,97.09,97.43,97.52,99.47,99.41,99.43,97.91,82.32,85.31,85.39,71.35,87.49,89.97,85.07,88.01,77.43,77.63,77.91,78.18,0.88,0.89,0.89,0.90,,,146,151,88.46,92.65,91.42,95.37
,Kota Salatiga,87.39,94.20,91.35,79.33,6,6,6,6,55.67,60.10,55.04,56.15,607.48,582.55,603.98,2671.00,84.35,84.99,85.72,86.23,10.95,11.24,11.48,11.49,95.23,95.40,95.49,95.70,99.53,99.97,99.15,96.61,75.90,81.72,78.76,81.81,97.72,98.15,96.28,94.22,77.72,77.93,78.27,78.75,0.89,0.89,0.90,0.90,,,56,58,88.09,91.30,91.83,94.12
,Kota Semarang,87.13,91.31,92.74,74.28,6,6,5,5,50.06,57.58,64.75,63.14,3036.66,2765.75,2581.9,1227.00,84.08,84.43,85.24,85.80,10.80,10.81,11.05,11.11,95.89,95.91,96.28,96.38,99.97,99.75,99.14,97.70,91.26,80.17,79.63,80.86,92.45,95.31,95.83,98.22,77.69,77.90,78.23,78.72,0.89,0.89,0.90,0.90,,,336,369,72.85,76.85,81.75,83.49
,Kota Pekalongan,69.66,78.94,78.27,70.20,5,6,5,5,52.19,59.48,60.84,53.94,1351.42,1305.89,1359.58,292.00,75.90,76.71,77.21,77.76,9.20,9.29,9.34,9.35,95.29,95.65,95.49,95.65,99.78,99.56,98.87,98.46,76.53,82.33,82.40,78.72,86.82,90.69,89.38,88.20,74.51,74.60,74.79,75.10,0.84,0.84,0.84,0.85,,,72,77,76.58,77.10,79.63,77.50
,Kota Tegal,75.71,86.00,85.73,69.87,6,6,5,5,51.36,58.42,57.19,55.55,625.99,544.5,582.33,1674994.00,76.21,77.06,77.50,77.95,9.00,9.24,9.28,9.29,93.31,93.68,93.92,94.04,98.40,98.34,98.13,97.69,74.75,78.39,72.42,74.68,93.58,94.12,92.48,94.13,74.77,74.84,75.01,75.30,0.84,0.84,0.85,0.85,,,64,67,76.67,78.92,84.56,87.31
DI Yogyakarta,Kulon Progo,82.82,85.54,85.73,72.31,6,6,5,5,59.80,57.10,54.19,56.42,19408.03,18202.53,16948.46,18836.00,75.46,75.82,76.18,76.97,9.17,9.18,9.20,9.33,96.08,95.80,95.86,95.91,98.54,83.85,99.43,,87.09,83.85,86.28,,96.43,97.19,97.16,98.07,75.33,75.35,75.49,75.71,0.85,0.85,0.85,0.86,,,118,120,82.42,85.33,86.59,88.50
,Bantul,80.38,82.07,82.92,76.82,6,6,5,5,54.28,53.78,53.88,54.18,24010.84,22924.01,21308.15,23090.00,80.69,81.74,82.05,83.03,9.59,9.79,9.81,10.11,95.93,95.90,96.05,96.43,99.81,88.86,98.54,,86.20,88.86,92.71,,96.05,97.30,96.46,95.25,74.61,74.64,74.80,75.04,0.84,0.84,0.84,0.85,,,185,192,77.08,78.10,84.66,88.92
,Gunung Kidul,78.74,81.98,82.97,71.47,6,6,5,5,45.38,45.96,37.61,47.32,43703.94,41616.38,37268.13,43057.00,70.96,71.46,72.14,73.13,7.31,7.32,7.35,7.64,86.24,86.35,87.13,87.37,99.56,83.03,99.81,,90.93,83.03,85.95,,96.57,95.78,97.63,98.34,74.75,74.76,74.91,75.12,0.84,0.84,0.84,0.85,,,197,203,85.38,87.04,87.94,89.97
,Sleman,83.16,83.16,84.91,85.50,6,6,6,6,49.15,50.38,49.43,50.53,23796.17,22943.66,21439.97,22225.00,84.31,84.86,85.71,86.35,10.94,11.01,11.33,11.42,96.96,96.94,97.11,97.17,99.38,86.98,99.56,,82.09,86.98,92.73,,97.42,95.78,96.43,97.57,75.17,75.26,75.48,75.81,0.85,0.85,0.85,0.86,,,218,231,80.12,82.71,82.92,87.94
,Kota Yogyakarta,79.28,83.11,84.21,72.11,6,6,5,5,52.17,50.96,51.00,53.96,8.26,7.08,11.43,16.00,87.69,88.61,89.10,89.53,11.89,12.11,12.12,12.13,99.25,99.04,99.25,99.26,99.34,81.71,99.34,,80.49,81.71,88.79,,92.82,96.55,96.27,95.67,75.43,75.52,75.73,76.05,0.85,0.85,0.86,0.86,,,112,121,85.72,88.53,91.10,91.68
Jawa Timur,Pacitan,77.73,80.78,82.94,72.07,6,6,5,5,50.71,51.88,47.70,49.49,17831.47,17923.4,14602.85,26774.00,70.19,70.94,71.49,72.26,7.82,7.88,7.90,7.91,86.29,86.79,87.11,87.59,96.78,96.34,98.42,,78.13,79.97,67.69,,72.64,77.45,81.26,,74.35,74.58,74.74,74.98,0.84,0.84,0.84,0.85,,,131,146,42.98,51.67,,59.16
,Ponorogo,86.20,87.91,88.74,71.22,6,6,5,5,57.08,59.01,59.82,58.80,62964.37,66594.55,63395.6,74200.00,72.59,73.18,73.70,74.65,7.77,7.78,7.80,7.95,94.85,94.98,95.16,95.41,98.91,98.72,98.00,,85.99,85.35,69.36,,86.77,89.79,92.57,,74.81,75.07,75.28,75.61,0.84,0.85,0.85,0.86,,,216,220,55.64,59.52,,61.05
,Trenggalek,80.68,81.90,83.17,76.82,6,6,5,5,52.55,52.10,57.49,56.55,22026.97,22049.36,18239.46,27943.00,71.28,71.96,72.47,73.39,7.89,7.90,7.92,8.09,93.07,93.18,93.20,93.64,92.34,94.01,96.35,,83.92,84.05,66.23,,79.27,81.28,84.66,,74.91,75.16,75.35,75.63,0.85,0.85,0.85,0.86,,,155,159,51.27,55.11,,57.80
,Tulungagung,86.05,85.23,87.35,74.82,6,6,5,5,52.42,58.53,62.87,61.15,39531.25,40238.66,34167.99,39342.00,74.14,74.65,75.13,75.88,8.65,8.66,8.68,8.69,96.28,95.92,95.99,95.84,99.79,99.36,98.72,,85.65,91.57,58.49,,83.60,87.85,87.76,,74.73,74.99,75.20,75.51,0.84,0.85,0.85,0.85,,,265,286,45.47,52.56,,55.62
,Blitar,84.34,86.27,86.43,69.71,6,6,5,5,63.12,66.10,55.59,64.65,34137.74,36340.17,30789.76,35796.00,72.25,72.84,73.44,74.43,7.82,7.83,7.87,8.01,93.85,93.89,94.10,94.35,95.86,96.23,98.69,,79.71,87.56,60.48,,80.11,82.50,86.16,88.52,74.86,75.12,75.32,75.63,0.85,0.85,0.85,0.86,,,227,250,42.61,44.94,,60.69
,Kediri,79.16,78.22,81.19,71.14,6,6,5,5,57.47,58.70,57.08,57.99,29379.86,31268.33,30496.57,34198.00,74.20,74.68,75.18,76.09,8.23,8.24,8.26,8.38,93.64,93.89,94.01,94.14,97.26,97.53,99.73,,86.85,88.82,72.75,,88.68,92.13,94.94,,74.58,74.85,75.07,75.41,0.84,0.84,0.85,0.85,,,335,350,52.08,55.96,,67.20
,Malang,79.26,79.97,81.09,69.76,6,6,5,5,59.17,63.61,62.11,64.53,45901.91,43918.59,41019.97,38178.00,72.23,73.00,73.53,74.45,7.68,7.75,7.80,7.98,89.21,89.26,89.53,89.82,98.54,98.63,99.61,,87.00,87.99,49.31,,81.80,84.03,86.74,,74.88,75.14,75.34,75.63,0.84,0.85,0.85,0.86,,,429,438,44.89,48.72,,58.49
,Lumajang,79.34,79.42,79.58,73.25,6,6,5,5,54.65,55.99,54.07,55.92,55042.50,55128.79,47553.88,50052.00,68.48,69.37,70.31,71.02,6.87,7.14,7.27,7.28,89.30,89.73,90.16,90.30,99.95,99.41,97.87,,79.05,81.83,49.18,,77.99,77.48,82.45,,74.17,74.41,74.57,74.80,0.84,0.84,0.84,0.84,,,167,177,34.03,41.18,,50.62
,Jember,78.34,77.43,78.97,68.52,6,6,4,4,51.26,51.31,51.91,50.17,118489.25,120187.87,120069.41,135436.00,69.80,70.42,70.93,71.57,6.50,6.52,6.54,6.64,85.68,86.03,86.35,86.80,95.67,95.57,97.85,,80.65,85.96,64.07,,65.95,64.47,67.46,,73.79,74.02,74.17,74.37,0.83,0.84,0.83,0.84,,,373,383,46.89,48.16,,52.87
,Banyuwangi,83.82,84.91,85.77,77.62,6,6,6,6,60.22,60.59,58.84,59.97,76748.03,75062.48,67240.56,75650.00,73.15,73.79,74.30,75.17,7.66,7.76,7.78,7.84,87.53,87.96,88.09,88.31,98.03,97.90,98.05,,82.61,87.25,67.40,,78.07,82.63,86.22,,73.67,73.93,74.13,74.43,0.83,0.83,0.83,0.84,,,323,322,39.18,41.43,,67.38
,Bondowoso,73.78,75.50,78.44,70.71,5,5,5,5,49.48,49.20,51.27,49.69,48240.70,50364.98,50609.62,56112.00,69.91,70.56,71.22,71.72,6.22,6.36,6.53,6.54,91.20,91.38,91.49,91.57,97.38,97.22,97.55,,83.45,77.88,57.84,,51.64,57.41,62.10,,72.98,73.19,73.31,73.47,0.82,0.82,0.82,0.82,,,142,145,63.61,65.86,,89.50
,Situbondo,76.31,76.64,80.22,71.67,6,6,5,5,52.88,56.34,54.20,53.47,26784.22,27917.32,29935.08,37251.00,69.76,70.65,71.22,71.87,6.63,6.90,6.93,7.03,87.41,87.78,87.99,88.21,94.84,94.81,97.54,,81.50,70.31,57.78,,54.52,59.37,62.66,,72.99,73.22,73.36,73.54,0.82,0.82,0.82,0.82,,,122,122,47.64,52.33,,64.81
,Probolinggo,73.00,73.27,74.22,68.16,5,5,4,4,55.34,57.24,53.53,53.08,33503.12,35121.69,33177.95,36946.00,69.56,70.36,70.85,71.65,6.13,6.29,6.31,6.43,86.33,86.76,87.11,87.17,99.91,99.67,99.21,,70.83,77.67,52.39,,62.36,66.12,66.39,,73.58,73.80,73.93,74.10,0.83,0.83,0.83,0.83,,,182,185,62.12,64.09,,85.20
,Pasuruan,77.40,79.87,80.31,70.84,6,6,5,5,52.18,53.07,54.29,54.01,47384.82,48999.14,51087,50784.00,71.29,71.91,72.36,73.02,7.42,7.44,7.46,7.47,91.58,91.78,91.94,92.06,97.49,97.35,98.77,,81.96,82.88,50.25,,83.40,86.70,86.36,,74.15,74.41,74.61,74.81,0.83,0.84,0.84,0.84,,,229,245,49.20,57.04,,62.48
,Sidoarjo,82.87,83.51,84.49,77.12,6,6,5,5,62.02,63.12,65.10,60.57,31368.74,31030.46,32100.11,29004.00,81.37,81.88,82.67,83.35,10.77,10.78,10.91,10.94,95.27,95.27,95.45,95.46,99.18,98.97,99.39,,90.28,85.78,75.23,,89.54,94.72,97.95,,75.06,75.36,75.63,76.08,0.85,0.85,0.86,0.86,,,398,408,67.73,74.02,,85.83
,Mojokerto,84.06,86.70,87.32,82.14,6,6,6,6,57.06,56.66,60.41,60.37,49395.45,53462.15,47296.06,51751.00,75.61,76.23,76.69,77.46,8.97,9.11,9.13,9.14,92.10,92.23,92.41,92.85,95.60,97.44,99.52,,83.89,87.87,72.30,,89.87,89.38,91.14,,74.48,74.74,74.95,75.28,0.84,0.84,0.85,0.85,,,217,248,62.94,69.21,,69.00
,Jombang,83.89,83.99,86.43,80.93,6,6,6,6,61.42,61.11,61.82,61.90,54896.68,56762.71,55369.46,71349.00,74.66,75.16,75.67,76.37,8.76,8.77,8.78,8.88,91.11,91.13,91.32,91.62,97.75,98.01,99.09,,89.38,87.31,80.62,,93.67,94.06,96.13,,74.17,74.43,74.64,74.97,0.83,0.84,0.84,0.85,,,260,258,65.92,68.37,,70.23
,Nganjuk,81.82,83.68,84.88,73.66,6,6,5,5,53.53,58.04,58.11,56.53,70331.77,72039.49,69685.57,76989.00,73.95,74.70,75.24,75.89,8.12,8.24,8.25,8.26,94.47,94.75,94.92,95.08,99.96,99.75,99.24,,90.53,88.71,71.75,,83.36,87.83,90.96,,74.17,74.43,74.64,74.96,0.83,0.84,0.84,0.85,,,216,220,53.04,59.39,,75.35
,Madiun,83.93,85.32,86.22,75.24,6,6,5,5,54.96,58.51,59.58,57.98,73061.53,74784.95,73419.94,82826.00,73.51,74.02,74.81,75.47,7.94,7.95,8.20,8.21,92.82,93.02,93.33,93.62,97.23,96.88,97.33,,87.88,88.84,69.24,,89.40,91.99,91.47,,74.34,74.59,74.79,75.11,0.84,0.84,0.84,0.85,,,164,165,58.22,59.07,,86.62
,Magetan,86.36,86.83,87.98,78.30,6,6,6,6,60.66,63.16,62.72,61.14,43965.49,44424,43404.62,50411.00,75.76,76.30,76.77,77.58,8.66,8.67,8.69,8.84,94.77,94.78,95.05,95.01,99.85,99.71,98.62,,86.50,87.30,76.08,,91.01,92.90,89.99,,74.92,75.19,75.42,75.76,0.85,0.85,0.85,0.86,,,179,183,55.36,56.80,,68.95
,Ngawi,85.01,84.98,87.53,76.57,6,6,5,5,58.79,61.74,62.21,59.88,128585.79,124922.92,123075.68,129013.00,72.62,73.28,73.91,74.43,7.59,7.78,7.84,7.88,93.42,93.58,93.79,94.36,97.27,96.80,98.70,,84.49,78.71,68.43,,84.26,85.42,82.99,,74.76,75.01,75.21,75.49,0.84,0.85,0.85,0.85,,,198,208,69.46,71.51,,79.67
,Bojonegoro,83.55,85.40,87.63,72.24,6,6,5,5,52.69,53.20,54.15,54.72,133665.50,132712.02,131220.56,160748.00,71.15,71.80,72.75,73.74,7.43,7.45,7.59,7.78,91.36,91.63,92.22,92.56,99.99,99.56,99.77,,85.35,84.68,63.58,,91.01,92.63,96.43,,74.48,74.72,74.91,75.20,0.84,0.85,0.84,0.85,,,235,245,89.53,92.71,,98.15
,Tuban,83.02,84.41,85.85,73.23,6,6,5,5,58.50,59.65,62.11,59.59,85288.02,84115.63,84211.69,96992.00,70.79,71.40,72.31,73.15,7.37,7.40,7.53,7.54,89.09,89.27,89.59,89.71,98.90,99.22,99.65,,81.85,82.11,56.82,,80.99,85.13,85.12,,74.53,74.77,74.95,75.23,0.84,0.85,0.85,0.85,,,178,189,48.67,49.40,,65.02
,Lamongan,85.86,87.28,90.30,77.06,6,6,5,5,59.90,57.17,59.41,57.68,150903.40,139704.81,130670.42,152564.00,74.83,75.29,75.90,76.81,8.33,8.34,8.48,8.73,90.29,90.47,90.70,90.86,99.99,99.40,99.70,,84.84,83.98,66.21,,90.66,95.00,95.88,,74.60,74.86,75.07,75.40,0.84,0.85,0.85,0.85,,,312,324,63.18,64.40,,75.51
,Gresik,86.81,90.39,90.90,78.46,6,6,6,6,64.98,63.05,60.85,60.58,63287.20,66202.61,54057.45,62003.00,77.62,78.44,78.93,79.69,9.75,10.01,10.03,10.13,91.27,91.39,91.63,92.01,97.39,97.66,98.06,,84.67,83.19,76.00,,90.29,95.00,93.22,,73.96,74.24,74.48,74.90,0.83,0.83,0.84,0.84,,,328,341,61.44,84.29,,89.92
,Bangkalan,70.59,73.23,76.02,61.95,5,5,4,4,48.66,49.00,47.82,47.71,40717.81,38011.82,39554.55,46903.00,66.11,66.82,67.33,68.15,5.97,5.99,6.01,6.15,87.45,87.78,88.09,88.42,99.99,99.58,99.94,,73.92,82.28,44.42,,53.48,50.30,50.31,,73.05,73.29,73.43,73.62,0.82,0.82,0.82,0.82,,,140,149,19.52,29.26,,46.07
,Sampang,73.25,77.08,78.97,63.38,5,6,4,4,49.45,48.05,44.13,44.86,34880.84,34795.54,33068.93,42337.00,65.44,66.19,66.72,67.23,5.06,5.07,5.08,5.19,86.93,87.28,87.52,87.39,97.76,97.65,99.53,,68.85,70.28,43.96,,79.33,82.86,87.24,,73.24,73.49,73.66,73.89,0.82,0.82,0.83,0.83,,,128,141,35.76,43.46,,64.41
,Pamekasan,74.41,79.44,79.08,63.53,5,6,4,4,52.52,54.56,51.69,54.44,20497.42,19884.36,19637.62,24130.00,69.35,70.32,70.85,71.64,6.88,7.15,7.17,7.29,86.99,87.28,87.60,88.04,97.40,97.26,98.11,,78.06,76.43,50.72,,65.95,71.10,72.94,,73.28,73.51,73.66,73.85,0.82,0.83,0.83,0.83,,,117,124,60.01,68.40,,76.17
,Sumenep,74.01,77.02,79.77,73.50,5,6,5,5,55.12,51.33,51.55,52.96,41835.41,42432.97,36761.47,35770.00,68.49,69.13,69.78,70.54,5.93,5.94,6.10,6.24,82.16,82.61,83.03,83.57,99.74,99.40,97.81,,88.34,84.94,59.23,,67.68,70.26,73.31,,73.43,73.69,73.86,74.09,0.82,0.83,0.83,0.83,,,149,169,44.60,47.67,,95.95
,Kota Kediri,73.95,76.42,76.67,70.41,6,6,5,5,54.70,54.43,63.19,59.02,1864.13,1519.69,1328.15,628.00,80.12,80.97,81.88,82.71,10.45,10.69,10.92,11.09,95.55,95.76,95.99,96.36,99.87,99.54,98.95,,85.90,87.10,81.54,,95.87,96.41,95.39,,75.44,75.74,75.94,76.28,0.85,0.86,0.86,0.87,,,108,116,83.01,89.49,,91.98
,Kota Blitar,74.57,79.25,80.80,69.56,6,6,5,5,71.58,71.66,64.84,72.50,728.19,786.57,574.04,837.00,80.15,80.78,81.44,82.03,10.65,10.78,10.82,10.83,97.94,98.09,98.03,98.11,99.49,99.01,99.27,,87.38,89.37,83.61,,95.91,96.22,95.93,,74.71,74.97,75.20,75.47,0.84,0.85,0.85,0.85,,,49,53,82.09,90.42,,97.01
,Kota Malang,80.80,85.27,88.76,66.73,6,6,4,4,62.69,63.19,65.16,63.35,1718.11,1632.88,1610.91,1301.00,83.38,84.00,84.68,85.55,10.69,10.94,11.14,11.36,96.47,96.76,97.02,97.04,99.92,99.50,99.05,,86.74,83.28,72.58,,82.61,86.36,87.84,,75.06,75.32,75.54,75.88,0.85,0.85,0.85,0.86,,,167,185,70.63,80.06,,87.03
,Kota Probolinggo,73.83,80.01,78.62,68.57,6,6,4,4,61.21,57.29,61.06,63.20,1323.99,1309.44,1391.07,1597.00,76.08,76.93,77.79,78.50,9.29,9.56,9.72,9.73,96.66,97.06,97.26,97.52,99.88,99.68,99.28,,87.62,92.23,69.18,,89.27,88.27,91.59,,73.84,74.10,74.31,74.64,0.83,0.83,0.84,0.84,,,59,62,84.61,92.85,,90.10
,Kota Pasuruan,71.21,81.45,84.16,71.46,6,6,5,5,52.32,58.34,55.02,55.12,1393.98,1374.7,1574.89,1355.00,77.71,78.30,78.90,79.52,9.67,9.78,9.94,9.98,97.46,97.59,97.82,98.59,99.92,99.70,99.36,,77.80,89.86,62.84,,89.32,91.73,95.52,,74.38,74.64,74.86,75.19,0.84,0.84,0.84,0.85,,,64,68,91.86,92.83,,96.12
,Kota Mojokerto,81.43,89.83,89.30,68.75,6,6,4,4,60.42,53.07,60.40,58.93,833.03,620.48,571.1,524.00,80.19,80.90,81.76,82.35,10.80,11.05,11.38,11.44,94.65,95.04,95.20,95.65,99.67,99.50,98.97,,88.00,83.34,71.51,,95.59,96.48,98.56,,75.53,75.80,75.99,76.31,0.85,0.86,0.86,0.87,,,48,48,85.69,92.93,,93.10
,Kota Madiun,85.32,92.49,92.29,77.65,6,6,6,6,52.19,55.20,57.58,57.06,2194.58,2204.48,2190.08,2084.00,83.02,83.71,84.51,85.12,11.67,11.82,12.11,12.12,95.52,95.87,95.92,96.05,99.78,99.42,98.84,,83.90,87.11,57.56,,95.38,98.18,95.19,,75.11,75.40,75.67,76.11,0.85,0.85,0.86,0.86,,,68,69,82.76,91.80,,91.57
